NMec = 98491
T = 23
P = 5
Profits not ignored
Solution time = 1.966e-02
Best Profit = 32453
Terminal Cases = 1800388
Task date  Profit    P
  0   33    2479     -1  
  1   8     1123     0   
  3   26    5252     1   
  9   12    645      0   
  11  24    2485     2   
  11  25    3682     3   
  13  27    3628     0   
  16  22    728      -1  
  22  42    3877     4   
  22  43    2246     -1  
  23  25    683      -1  
  23  39    1691     -1  
  23  39    2372     -1  
  25  33    1618     2   
  28  35    1752     0   
  28  39    1612     -1  
  28  43    2613     1   
  28  44    1605     -1  
  30  42    2788     3   
  30  45    1659     -1  
  34  40    1022     2   
  38  45    1968     0   
  39  40    393      -1  
End
