NMec = 98491
T = 16
P = 8
Profits not ignored
Solution time = 8.030e-04
Best Profit = 22754
Terminal Cases = 49709
Task date  Profit    P
  0   15    1726     0   
  0   20    3698     1   
  0   26    4183     2   
  1   23    2179     3   
  2   10    1482     4   
  2   14    1580     -1  
  4   23    1594     -1  
  5   20    1525     -1  
  6   16    1532     -1  
  6   22    1601     5   
  7   16    1589     -1  
  9   26    2827     6   
  10  21    1427     -1  
  11  29    2399     4   
  12  19    1624     7   
  16  29    1035     0   
End
