NMec = 98491
T = 38
P = 7
Profits not ignored
Solution time = 3.441e+02
Best Profit = 58508
Terminal Cases = 33503141207
Task date  Profit    P
  0   10    2205     0   
  0   10    1467     1   
  0   15    2154     -1  
  0   20    2234     2   
  1   14    3546     3   
  1   19    2073     -1  
  2   12    2199     4   
  3   39    4180     -1  
  3   49    2992     -1  
  4   26    2670     -1  
  5   8     208      -1  
  5   14    1095     -1  
  6   30    7209     5   
  7   23    4465     6   
  8   22    1874     -1  
  10  30    2695     -1  
  11  29    1932     0   
  11  33    2609     1   
  12  14    299      -1  
  12  20    803      -1  
  17  39    1708     -1  
  21  29    623      -1  
  21  42    2474     2   
  22  25    576      -1  
  22  28    969      3   
  23  43    1739     -1  
  24  32    1211     4   
  25  34    783      -1  
  25  46    5207     6   
  27  42    1554     -1  
  30  47    2054     0   
  30  54    5198     3   
  32  51    5875     5   
  33  51    2682     4   
  34  46    3248     1   
  36  43    657      -1  
  43  44    433      2   
  46  54    1291     2   
End
