NMec = 98491
T = 19
P = 2
Profits not ignored
Solution time = 1.984e-04
Best Profit = 32362
Terminal Cases = 17330
Task date  Profit    P
  0   16    4533     0   
  3   22    4475     1   
  11  17    756      -1  
  12  22    1113     -1  
  16  24    1264     -1  
  17  29    1452     0   
  24  76    14318    1   
  34  40    1485     0   
  35  54    2337     -1  
  39  48    2008     -1  
  40  50    683      -1  
  43  62    2049     -1  
  47  59    1101     -1  
  48  53    1182     0   
  52  78    3371     -1  
  55  87    4917     0   
  59  63    934      -1  
  63  76    2506     -1  
  73  86    1090     -1  
End
