NMec = 98491
T = 17
P = 4
Profits not ignored
Solution time = 3.445e-04
Best Profit = 23844
Terminal Cases = 21391
Task date  Profit    P
  0   9     1595     0   
  2   23    3068     -1  
  2   42    5842     1   
  3   24    3467     -1  
  5   17    1642     2   
  7   14    948      -1  
  8   24    4442     3   
  11  29    2297     0   
  15  25    1593     -1  
  16  28    1285     -1  
  18  37    2365     2   
  19  32    1219     -1  
  20  34    2252     -1  
  23  29    1634     -1  
  23  32    1962     -1  
  25  39    3808     3   
  34  42    1853     0   
End
