NMec = 98491
T = 28
P = 4
Profits not ignored
Solution time = 2.367e-01
Best Profit = 38643
Terminal Cases = 33209581
Task date  Profit    P
  1   19    4534     0   
  5   6     225      1   
  5   16    2009     2   
  6   28    3074     -1  
  6   43    5662     3   
  12  27    2462     -1  
  13  28    3113     1   
  15  26    1744     -1  
  17  32    3942     2   
  20  28    1757     -1  
  20  38    3512     0   
  20  41    3290     -1  
  21  27    574      -1  
  24  32    1633     -1  
  29  43    3207     1   
  33  41    846      -1  
  33  44    2481     -1  
  34  38    713      -1  
  37  47    3243     2   
  39  46    1156     -1  
  39  49    1434     -1  
  39  55    1320     -1  
  43  50    1894     0   
  48  54    609      -1  
  49  58    1997     1   
  52  60    2303     0   
  53  59    1035     2   
  54  69    1967     3   
End
