NMec = 98491
T = 38
P = 8
Profits not ignored
Solution time = 1.835e+02
Best Profit = 50965
Terminal Cases = 17903686088
Task date  Profit    P
  0   15    2601     0   
  1   45    8603     1   
  2   13    1867     2   
  2   18    2469     -1  
  3   19    4288     3   
  3   21    2390     -1  
  4   29    6107     4   
  5   16    1852     5   
  5   22    2425     -1  
  6   14    1474     6   
  8   11    999      7   
  9   28    3417     -1  
  10  25    1724     -1  
  12  14    563      -1  
  12  25    1423     -1  
  12  38    3575     -1  
  13  27    3369     7   
  14  17    811      2   
  14  22    673      -1  
  15  23    1682     6   
  15  29    1974     -1  
  16  26    1391     -1  
  16  30    969      -1  
  18  26    1588     0   
  18  27    1453     -1  
  18  33    1407     -1  
  18  38    4424     2   
  18  38    2890     5   
  19  29    1357     -1  
  21  32    1177     -1  
  21  34    2006     3   
  24  42    2042     6   
  25  34    1876     -1  
  25  35    1075     -1  
  26  38    1297     -1  
  28  41    1229     0   
  29  47    1725     7   
  36  43    1408     3   
End
