NMec = 98491
T = 37
P = 6
Profits not ignored
Solution time = 6.445e+01
Best Profit = 46296
Terminal Cases = 6586800416
Task date  Profit    P
  1   25    4498     0   
  3   54    5020     -1  
  4   27    2638     1   
  4   40    5089     2   
  5   15    1474     3   
  8   61    6235     4   
  9   13    577      -1  
  9   29    3161     5   
  11  19    1335     -1  
  12  19    1597     -1  
  14  53    4042     -1  
  15  24    905      -1  
  15  26    1580     -1  
  15  29    1686     -1  
  15  31    2509     -1  
  16  20    810      3   
  16  21    1602     -1  
  19  57    4587     -1  
  21  29    1498     3   
  24  47    2096     -1  
  29  39    2452     0   
  29  39    701      -1  
  29  44    2956     1   
  31  43    1505     -1  
  32  42    2336     3   
  33  48    1391     -1  
  35  47    3203     5   
  37  44    1056     -1  
  38  50    1956     -1  
  40  49    896      -1  
  41  57    1867     0   
  42  48    568      -1  
  42  56    2627     2   
  43  54    1765     3   
  50  61    1599     1   
  52  60    1654     5   
  60  61    434      0   
End
