NMec = 98491
T = 37
P = 5
Profits not ignored
Solution time = 1.063e+02
Best Profit = 47944
Terminal Cases = 9521046676
Task date  Profit    P
  1   13    1998     0   
  2   6     902      1   
  2   70    14117    2   
  6   47    5266     3   
  12  23    1687     1   
  12  26    995      -1  
  13  24    1456     -1  
  14  26    1636     -1  
  16  26    1111     -1  
  18  19    131      0   
  18  26    940      -1  
  18  27    1072     -1  
  19  40    4696     4   
  20  28    1585     -1  
  20  29    2488     -1  
  20  41    4113     0   
  23  34    1236     -1  
  27  39    1426     -1  
  28  43    2142     1   
  37  47    2424     -1  
  38  49    1084     -1  
  40  54    1128     -1  
  41  48    1018     -1  
  42  55    1314     -1  
  43  52    1997     0   
  44  56    1275     -1  
  45  72    2214     -1  
  46  62    2679     1   
  46  68    3180     4   
  50  58    1567     3   
  52  60    895      -1  
  55  68    1060     -1  
  56  73    1550     -1  
  58  68    1573     0   
  59  62    473      -1  
  61  72    806      3   
  65  72    1090     1   
End
