NMec = 98491
T = 18
P = 4
Profits not ignored
Solution time = 1.179e-03
Best Profit = 19269
Terminal Cases = 107532
Task date  Profit    P
  2   3     533      0   
  2   17    1880     1   
  4   13    720      -1  
  5   44    3845     0   
  6   12    1262     -1  
  6   20    2977     2   
  6   29    2626     -1  
  8   21    2318     -1  
  9   29    3392     3   
  14  17    307      -1  
  18  40    2869     1   
  20  43    1918     -1  
  22  29    867      2   
  23  34    1082     -1  
  32  37    877      -1  
  32  44    1974     2   
  34  38    932      3   
  35  36    267      -1  
End
