NMec = 98491
T = 22
P = 5
Profits not ignored
Solution time = 3.621e-03
Best Profit = 21215
Terminal Cases = 422776
Task date  Profit    P
  1   21    2398     0   
  1   28    4406     1   
  3   6     597      2   
  4   15    1145     -1  
  4   24    3180     3   
  4   25    2027     -1  
  5   20    1144     -1  
  6   14    553      -1  
  6   20    2904     4   
  8   24    2251     -1  
  8   28    2792     2   
  10  15    973      -1  
  10  22    1352     -1  
  11  18    769      -1  
  11  24    1348     -1  
  14  22    1564     -1  
  15  29    1648     -1  
  18  28    991      -1  
  21  35    2199     4   
  27  30    661      0   
  29  36    1916     1   
  35  36    162      0   
End
