NMec = 98491
T = 27
P = 1
Profits not ignored
Solution time = 3.553e-03
Best Profit = 27320
Terminal Cases = 446400
Task date  Profit    P
  16  24    1161     0   
  26  37    1420     -1  
  28  40    3483     0   
  33  42    1718     -1  
  35  44    836      -1  
  46  57    2351     0   
  53  64    732      -1  
  61  74    2870     0   
  63  74    2487     -1  
  72  92    1868     -1  
  105 111   633      0   
  119 125   1349     -1  
  122 132   2185     0   
  125 135   1620     -1  
  138 160   3391     0   
  141 149   2135     -1  
  142 151   1004     -1  
  144 168   3921     -1  
  161 176   1810     0   
  184 197   2049     0   
  199 208   1390     0   
  199 222   2899     -1  
  211 223   2365     0   
  217 227   1131     -1  
  226 236   2223     -1  
  229 250   3632     0   
  247 254   926      -1  
End
