NMec = 98491
T = 34
P = 7
Profits not ignored
Solution time = 3.835e+01
Best Profit = 50748
Terminal Cases = 2956106439
Task date  Profit    P
  0   14    2634     0   
  0   48    7332     1   
  2   17    2018     2   
  4   9     937      3   
  5   26    1921     -1  
  7   14    748      4   
  8   17    2013     5   
  8   26    3763     6   
  9   16    947      -1  
  9   28    3824     -1  
  10  29    3510     3   
  14  20    1322     -1  
  15  28    3709     0   
  16  30    1333     -1  
  16  38    2654     -1  
  16  39    5747     4   
  18  19    397      2   
  18  33    2264     5   
  19  41    3068     -1  
  24  45    3743     2   
  25  38    966      -1  
  26  30    680      -1  
  26  41    1534     -1  
  27  31    1424     -1  
  27  48    3694     6   
  29  45    3317     0   
  29  48    1635     -1  
  30  40    1189     -1  
  31  40    2296     -1  
  31  46    2946     3   
  32  42    2243     -1  
  33  45    1381     -1  
  34  42    1976     5   
  39  46    1408     -1  
End
