NMec = 98491
T = 36
P = 7
Profits not ignored
Solution time = 8.257e+01
Best Profit = 57258
Terminal Cases = 7087173903
Task date  Profit    P
  2   22    2353     -1  
  4   23    1654     -1  
  5   26    2999     -1  
  6   16    1986     0   
  6   18    1631     -1  
  6   25    3571     -1  
  6   33    7975     1   
  7   21    3650     2   
  7   25    4876     3   
  8   19    1948     4   
  10  28    3387     -1  
  11  26    4389     5   
  12  18    1113     -1  
  13  27    3453     -1  
  13  46    6829     6   
  17  33    1315     -1  
  18  31    2516     -1  
  19  21    410      0   
  19  37    3393     -1  
  20  41    4279     4   
  21  38    1566     -1  
  22  29    1553     0   
  23  38    1172     -1  
  24  45    5677     2   
  26  35    1925     3   
  28  49    2500     5   
  29  43    2031     -1  
  29  46    2467     -1  
  30  39    1755     0   
  31  34    611      -1  
  31  45    2300     -1  
  37  41    624      -1  
  37  44    2167     1   
  38  45    763      -1  
  38  51    2978     3   
  40  50    2361     0   
End
