NMec = 98491
T = 34
P = 6
Profits not ignored
Solution time = 2.602e+01
Best Profit = 40496
Terminal Cases = 2594349224
Task date  Profit    P
  2   16    1864     0   
  3   13    1490     1   
  3   27    5226     2   
  4   41    4195     -1  
  6   17    1164     -1  
  7   54    7048     3   
  8   19    1977     4   
  9   26    1250     -1  
  10  11    383      -1  
  10  16    1585     5   
  10  24    1551     -1  
  11  16    766      -1  
  12  24    1847     -1  
  13  48    2780     -1  
  18  23    947      -1  
  18  37    2000     -1  
  19  23    1031     0   
  19  47    3511     1   
  20  28    2287     4   
  21  28    2016     5   
  23  31    843      -1  
  28  36    1125     -1  
  29  35    1254     0   
  30  37    773      -1  
  30  44    2489     2   
  32  43    1844     -1  
  33  34    591      4   
  34  37    356      -1  
  34  44    2283     5   
  35  43    2452     4   
  36  47    1041     0   
  39  43    738      -1  
  45  56    1108     2   
  46  55    1243     4   
End
